FLOPS on efficientnet
OP_NAME            | M FLOPS
------------------------------
CONV_2D            | 38.9
DEPTHWISE_CONV_2D  | 13.0
CONV_2D            | 34.6
CONV_2D            | 155.5
DEPTHWISE_CONV_2D  | 14.6
CONV_2D            | 51.8
CONV_2D            | 69.1
DEPTHWISE_CONV_2D  | 19.4
CONV_2D            | 69.1
ADD                | <IGNORED>
CONV_2D            | 69.1
DEPTHWISE_CONV_2D  | 19.4
CONV_2D            | 69.1
ADD                | <IGNORED>
CONV_2D            | 69.1
DEPTHWISE_CONV_2D  | 19.4
CONV_2D            | 69.1
ADD                | <IGNORED>
CONV_2D            | 69.1
DEPTHWISE_CONV_2D  | 13.9
CONV_2D            | 31.1
CONV_2D            | 54.3
DEPTHWISE_CONV_2D  | 24.3
CONV_2D            | 54.3
ADD                | <IGNORED>
CONV_2D            | 54.3
DEPTHWISE_CONV_2D  | 24.3
CONV_2D            | 54.3
ADD                | <IGNORED>
CONV_2D            | 54.3
DEPTHWISE_CONV_2D  | 24.3
CONV_2D            | 54.3
ADD                | <IGNORED>
CONV_2D            | 54.3
DEPTHWISE_CONV_2D  | 2.2
CONV_2D            | 27.2
CONV_2D            | 54.3
DEPTHWISE_CONV_2D  | 4.4
CONV_2D            | 54.3
ADD                | <IGNORED>
CONV_2D            | 54.3
DEPTHWISE_CONV_2D  | 4.4
CONV_2D            | 54.3
ADD                | <IGNORED>
CONV_2D            | 54.3
DEPTHWISE_CONV_2D  | 4.4
CONV_2D            | 54.3
ADD                | <IGNORED>
CONV_2D            | 54.3
DEPTHWISE_CONV_2D  | 4.4
CONV_2D            | 54.3
ADD                | <IGNORED>
CONV_2D            | 54.3
DEPTHWISE_CONV_2D  | 4.4
CONV_2D            | 54.3
ADD                | <IGNORED>
CONV_2D            | 54.3
DEPTHWISE_CONV_2D  | 12.1
CONV_2D            | 77.6
CONV_2D            | 110.9
DEPTHWISE_CONV_2D  | 17.3
CONV_2D            | 110.9
ADD                | <IGNORED>
CONV_2D            | 110.9
DEPTHWISE_CONV_2D  | 17.3
CONV_2D            | 110.9
ADD                | <IGNORED>
CONV_2D            | 110.9
DEPTHWISE_CONV_2D  | 17.3
CONV_2D            | 110.9
ADD                | <IGNORED>
CONV_2D            | 110.9
DEPTHWISE_CONV_2D  | 17.3
CONV_2D            | 110.9
ADD                | <IGNORED>
CONV_2D            | 110.9
DEPTHWISE_CONV_2D  | 17.3
CONV_2D            | 110.9
ADD                | <IGNORED>
CONV_2D            | 110.9
DEPTHWISE_CONV_2D  | 4.8
CONV_2D            | 52.2
CONV_2D            | 88.8
DEPTHWISE_CONV_2D  | 8.2
CONV_2D            | 88.8
ADD                | <IGNORED>
CONV_2D            | 88.8
DEPTHWISE_CONV_2D  | 8.2
CONV_2D            | 88.8
ADD                | <IGNORED>
CONV_2D            | 88.8
DEPTHWISE_CONV_2D  | 8.2
CONV_2D            | 88.8
ADD                | <IGNORED>
CONV_2D            | 88.8
DEPTHWISE_CONV_2D  | 8.2
CONV_2D            | 88.8
ADD                | <IGNORED>
CONV_2D            | 88.8
DEPTHWISE_CONV_2D  | 8.2
CONV_2D            | 88.8
ADD                | <IGNORED>
CONV_2D            | 88.8
DEPTHWISE_CONV_2D  | 8.2
CONV_2D            | 88.8
ADD                | <IGNORED>
CONV_2D            | 88.8
DEPTHWISE_CONV_2D  | 8.2
CONV_2D            | 88.8
ADD                | <IGNORED>
CONV_2D            | 88.8
DEPTHWISE_CONV_2D  | 2.9
CONV_2D            | 146.2
CONV_2D            | 114.7
AVERAGE_POOL_2D    | <IGNORED>
RESHAPE            | <IGNORED>
FULLY_CONNECTED    | <IGNORED>
SOFTMAX            | <IGNORED>
------------------------------
Total: 5103.5 M FLOPS
