OP_NAME            | M FLOPS
------------------------------
CONV_2D            | 299.0
EXP                | <IGNORED>
ADD                | <IGNORED>
LOG                | <IGNORED>
TANH               | <IGNORED>
MUL                | <IGNORED>
PAD                | <IGNORED>
CONV_2D            | 1594.9
EXP                | <IGNORED>
ADD                | <IGNORED>
LOG                | <IGNORED>
TANH               | <IGNORED>
MUL                | <IGNORED>
CONV_2D            | 354.4
EXP                | <IGNORED>
ADD                | <IGNORED>
LOG                | <IGNORED>
TANH               | <IGNORED>
MUL                | <IGNORED>
CONV_2D            | 354.4
EXP                | <IGNORED>
ADD                | <IGNORED>
LOG                | <IGNORED>
TANH               | <IGNORED>
MUL                | <IGNORED>
CONV_2D            | 177.2
EXP                | <IGNORED>
ADD                | <IGNORED>
LOG                | <IGNORED>
TANH               | <IGNORED>
MUL                | <IGNORED>
CONV_2D            | 1594.9
EXP                | <IGNORED>
ADD                | <IGNORED>
LOG                | <IGNORED>
TANH               | <IGNORED>
MUL                | <IGNORED>
ADD                | <IGNORED>
CONV_2D            | 354.4
EXP                | <IGNORED>
ADD                | <IGNORED>
LOG                | <IGNORED>
TANH               | <IGNORED>
MUL                | <IGNORED>
CONCATENATION      | <IGNORED>
CONV_2D            | 708.8
EXP                | <IGNORED>
ADD                | <IGNORED>
LOG                | <IGNORED>
TANH               | <IGNORED>
MUL                | <IGNORED>
PAD                | <IGNORED>
CONV_2D            | 1594.9
EXP                | <IGNORED>
ADD                | <IGNORED>
LOG                | <IGNORED>
TANH               | <IGNORED>
MUL                | <IGNORED>
CONV_2D            | 177.2
EXP                | <IGNORED>
ADD                | <IGNORED>
LOG                | <IGNORED>
TANH               | <IGNORED>
MUL                | <IGNORED>
CONV_2D            | 88.6
EXP                | <IGNORED>
ADD                | <IGNORED>
LOG                | <IGNORED>
TANH               | <IGNORED>
MUL                | <IGNORED>
CONV_2D            | 797.4
EXP                | <IGNORED>
ADD                | <IGNORED>
LOG                | <IGNORED>
TANH               | <IGNORED>
MUL                | <IGNORED>
ADD                | <IGNORED>
CONV_2D            | 88.6
EXP                | <IGNORED>
ADD                | <IGNORED>
LOG                | <IGNORED>
TANH               | <IGNORED>
MUL                | <IGNORED>
CONV_2D            | 797.4
EXP                | <IGNORED>
ADD                | <IGNORED>
LOG                | <IGNORED>
TANH               | <IGNORED>
MUL                | <IGNORED>
ADD                | <IGNORED>
CONV_2D            | 88.6
EXP                | <IGNORED>
ADD                | <IGNORED>
LOG                | <IGNORED>
TANH               | <IGNORED>
MUL                | <IGNORED>
CONV_2D            | 177.2
EXP                | <IGNORED>
ADD                | <IGNORED>
LOG                | <IGNORED>
TANH               | <IGNORED>
MUL                | <IGNORED>
CONCATENATION      | <IGNORED>
CONV_2D            | 354.4
EXP                | <IGNORED>
ADD                | <IGNORED>
LOG                | <IGNORED>
TANH               | <IGNORED>
MUL                | <IGNORED>
PAD                | <IGNORED>
CONV_2D            | 1594.9
