FLOPS on yolo
OP_NAME            | M FLOPS
------------------------------
PAD                | <IGNORED>
CONV_2D            | 74.8
LEAKY_RELU         | <IGNORED>
PAD                | <IGNORED>
CONV_2D            | 398.7
LEAKY_RELU         | <IGNORED>
CONV_2D            | 797.4
LEAKY_RELU         | <IGNORED>
SPLIT              | <IGNORED>
CONV_2D            | 199.4
LEAKY_RELU         | <IGNORED>
CONV_2D            | 199.4
LEAKY_RELU         | <IGNORED>
CONCATENATION      | <IGNORED>
CONV_2D            | 88.6
LEAKY_RELU         | <IGNORED>
CONCATENATION      | <IGNORED>
MAX_POOL_2D        | <IGNORED>
CONV_2D            | 797.4
LEAKY_RELU         | <IGNORED>
SPLIT              | <IGNORED>
CONV_2D            | 199.4
LEAKY_RELU         | <IGNORED>
CONV_2D            | 199.4
LEAKY_RELU         | <IGNORED>
CONCATENATION      | <IGNORED>
CONV_2D            | 88.6
LEAKY_RELU         | <IGNORED>
CONCATENATION      | <IGNORED>
MAX_POOL_2D        | <IGNORED>
CONV_2D            | 797.4
LEAKY_RELU         | <IGNORED>
SPLIT              | <IGNORED>
CONV_2D            | 199.4
LEAKY_RELU         | <IGNORED>
CONV_2D            | 199.4
LEAKY_RELU         | <IGNORED>
CONCATENATION      | <IGNORED>
CONV_2D            | 88.6
LEAKY_RELU         | <IGNORED>
CONCATENATION      | <IGNORED>
MAX_POOL_2D        | <IGNORED>
CONV_2D            | 797.4
LEAKY_RELU         | <IGNORED>
CONV_2D            | 44.3
LEAKY_RELU         | <IGNORED>
CONV_2D            | 398.7
LEAKY_RELU         | <IGNORED>
CONV_2D            | 44.1
SPLIT_V            | <IGNORED>
EXP                | <IGNORED>
MUL                | <IGNORED>
RESHAPE            | <IGNORED>
EXP                | <IGNORED>
MUL                | <IGNORED>
RESHAPE            | <IGNORED>
EXP                | <IGNORED>
MUL                | <IGNORED>
RESHAPE            | <IGNORED>
CONCATENATION      | <IGNORED>
LOGISTIC           | <IGNORED>
MUL                | <IGNORED>
ADD                | <IGNORED>
MUL                | <IGNORED>
RESHAPE            | <IGNORED>
LOGISTIC           | <IGNORED>
MUL                | <IGNORED>
ADD                | <IGNORED>
MUL                | <IGNORED>
RESHAPE            | <IGNORED>
LOGISTIC           | <IGNORED>
STRIDED_SLICE      | <IGNORED>
STRIDED_SLICE      | <IGNORED>
MUL                | <IGNORED>
RESHAPE            | <IGNORED>
LOGISTIC           | <IGNORED>
STRIDED_SLICE      | <IGNORED>
STRIDED_SLICE      | <IGNORED>
MUL                | <IGNORED>
RESHAPE            | <IGNORED>
LOGISTIC           | <IGNORED>
STRIDED_SLICE      | <IGNORED>
STRIDED_SLICE      | <IGNORED>
MUL                | <IGNORED>
RESHAPE            | <IGNORED>
LOGISTIC           | <IGNORED>
MUL                | <IGNORED>
ADD                | <IGNORED>
MUL                | <IGNORED>
RESHAPE            | <IGNORED>
CONCATENATION      | <IGNORED>
CONCATENATION      | <IGNORED>
CONV_2D            | 11.1
LEAKY_RELU         | <IGNORED>
RESIZE_BILINEAR    | <IGNORED>
CONCATENATION      | <IGNORED>
CONV_2D            | 1196.2
LEAKY_RELU         | <IGNORED>
CONV_2D            | 88.3
SPLIT_V            | <IGNORED>
EXP                | <IGNORED>
MUL                | <IGNORED>
RESHAPE            | <IGNORED>
EXP                | <IGNORED>
MUL                | <IGNORED>
RESHAPE            | <IGNORED>
EXP                | <IGNORED>
MUL                | <IGNORED>
RESHAPE            | <IGNORED>
CONCATENATION      | <IGNORED>
LOGISTIC           | <IGNORED>
STRIDED_SLICE      | <IGNORED>
STRIDED_SLICE      | <IGNORED>
MUL                | <IGNORED>
RESHAPE            | <IGNORED>
LOGISTIC           | <IGNORED>
STRIDED_SLICE      | <IGNORED>
STRIDED_SLICE      | <IGNORED>
MUL                | <IGNORED>
RESHAPE            | <IGNORED>
LOGISTIC           | <IGNORED>
STRIDED_SLICE      | <IGNORED>
STRIDED_SLICE      | <IGNORED>
MUL                | <IGNORED>
RESHAPE            | <IGNORED>
CONCATENATION      | <IGNORED>
LOGISTIC           | <IGNORED>
MUL                | <IGNORED>
ADD                | <IGNORED>
MUL                | <IGNORED>
RESHAPE            | <IGNORED>
LOGISTIC           | <IGNORED>
MUL                | <IGNORED>
ADD                | <IGNORED>
MUL                | <IGNORED>
RESHAPE            | <IGNORED>
LOGISTIC           | <IGNORED>
MUL                | <IGNORED>
ADD                | <IGNORED>
MUL                | <IGNORED>
RESHAPE            | <IGNORED>
CONCATENATION      | <IGNORED>
CONCATENATION      | <IGNORED>
CONCATENATION      | <IGNORED>
------------------------------
Total: 6907.9 M FLOPS
